"rules","support","confidence","coverage","lift","count"
"{DissolvedOxygen=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16
"{DissolvedOxygen=low,Conductivity=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{WaterTemp=low,DissolvedOxygen=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{AirTemp=low,DissolvedOxygen=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{eFishCatch=present,DissolvedOxygen=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{pH=high,DissolvedOxygen=low} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{WaterTemp=high,Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{AirTemp=high,Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{Conductivity=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12
"{Conductivity=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21
"{Conductivity=high,Backpack=ANDe} => {eDNAConc=high}",0.111111111111111,0.466666666666667,0.238095238095238,0.784,14
"{Conductivity=high,VolumeFiltered=low} => {eDNAConc=high}",0.182539682539683,0.547619047619048,0.333333333333333,0.92,23
"{DissolvedOxygen=high,Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{eFishCatch=present,Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{pH=high,Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{AirTemp=high,WaterTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{WaterTemp=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12
"{WaterTemp=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21
"{WaterTemp=high,Backpack=ANDe} => {eDNAConc=high}",0.111111111111111,0.466666666666667,0.238095238095238,0.784,14
"{WaterTemp=high,VolumeFiltered=low} => {eDNAConc=high}",0.182539682539683,0.547619047619048,0.333333333333333,0.92,23
"{WaterTemp=high,DissolvedOxygen=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{eFishCatch=present,WaterTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{WaterTemp=high,pH=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{AirTemp=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12
"{AirTemp=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21
"{AirTemp=high,Backpack=ANDe} => {eDNAConc=high}",0.111111111111111,0.466666666666667,0.238095238095238,0.784,14
"{AirTemp=high,VolumeFiltered=low} => {eDNAConc=high}",0.182539682539683,0.547619047619048,0.333333333333333,0.92,23
"{AirTemp=high,DissolvedOxygen=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{eFishCatch=present,AirTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{AirTemp=high,pH=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,0.666666666666667,0.142857142857143,1.12,12
"{VolumeFiltered=high,Backpack=ANDe} => {eDNAConc=high}",0.182539682539683,0.547619047619048,0.333333333333333,0.92,23
"{Conductivity=low,VolumeFiltered=high} => {eDNAConc=high}",0.182539682539683,0.479166666666667,0.380952380952381,0.805,23
"{WaterTemp=low,VolumeFiltered=high} => {eDNAConc=high}",0.182539682539683,0.479166666666667,0.380952380952381,0.805,23
"{AirTemp=low,VolumeFiltered=high} => {eDNAConc=high}",0.182539682539683,0.479166666666667,0.380952380952381,0.805,23
"{DissolvedOxygen=high,VolumeFiltered=high} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{eFishCatch=present,VolumeFiltered=high} => {eDNAConc=high}",0.23015873015873,0.69047619047619,0.333333333333333,1.16,29
"{pH=high,VolumeFiltered=high} => {eDNAConc=high}",0.19047619047619,0.571428571428571,0.333333333333333,0.96,24
"{VolumeFiltered=low,Backpack=OSMOS} => {eDNAConc=high}",0.253968253968254,0.761904761904762,0.333333333333333,1.28,32
"{Conductivity=low,Backpack=OSMOS} => {eDNAConc=high}",0.182539682539683,0.638888888888889,0.285714285714286,1.07333333333333,23
"{WaterTemp=low,Backpack=OSMOS} => {eDNAConc=high}",0.182539682539683,0.638888888888889,0.285714285714286,1.07333333333333,23
"{AirTemp=low,Backpack=OSMOS} => {eDNAConc=high}",0.182539682539683,0.638888888888889,0.285714285714286,1.07333333333333,23
"{DissolvedOxygen=high,Backpack=OSMOS} => {eDNAConc=high}",0.222222222222222,0.777777777777778,0.285714285714286,1.30666666666667,28
"{eFishCatch=present,Backpack=OSMOS} => {eDNAConc=high}",0.293650793650794,0.770833333333333,0.380952380952381,1.295,37
"{pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.317460317460317,0.833333333333333,0.380952380952381,1.4,40
"{VolumeFiltered=low,Backpack=ANDe} => {eDNAConc=high}",0.0634920634920635,0.333333333333333,0.19047619047619,0.56,8
"{Conductivity=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.472222222222222,0.285714285714286,0.793333333333333,17
"{WaterTemp=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.472222222222222,0.285714285714286,0.793333333333333,17
"{AirTemp=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.472222222222222,0.285714285714286,0.793333333333333,17
"{DissolvedOxygen=high,Backpack=ANDe} => {eDNAConc=high}",0.111111111111111,0.333333333333333,0.333333333333333,0.56,14
"{eFishCatch=present,Backpack=ANDe} => {eDNAConc=high}",0.246031746031746,0.574074074074074,0.428571428571429,0.964444444444444,31
"{pH=high,Backpack=ANDe} => {eDNAConc=high}",0.158730158730159,0.37037037037037,0.428571428571429,0.622222222222222,20
"{Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{WaterTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{AirTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{DissolvedOxygen=high,VolumeFiltered=low} => {eDNAConc=high}",0.19047619047619,0.5,0.380952380952381,0.84,24
"{eFishCatch=present,VolumeFiltered=low} => {eDNAConc=high}",0.30952380952381,0.65,0.476190476190476,1.092,39
"{pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.285714285714286,0.6,0.476190476190476,1.008,36
"{WaterTemp=low,Conductivity=low} => {eDNAConc=high}",0.317460317460317,0.555555555555556,0.571428571428571,0.933333333333333,40
"{AirTemp=low,Conductivity=low} => {eDNAConc=high}",0.317460317460317,0.555555555555556,0.571428571428571,0.933333333333333,40
"{DissolvedOxygen=high,Conductivity=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=present,Conductivity=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{pH=high,Conductivity=low} => {eDNAConc=high}",0.198412698412698,0.520833333333333,0.380952380952381,0.875,25
"{AirTemp=low,WaterTemp=low} => {eDNAConc=high}",0.317460317460317,0.555555555555556,0.571428571428571,0.933333333333333,40
"{WaterTemp=low,DissolvedOxygen=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=present,WaterTemp=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{WaterTemp=low,pH=high} => {eDNAConc=high}",0.198412698412698,0.520833333333333,0.380952380952381,0.875,25
"{AirTemp=low,DissolvedOxygen=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=present,AirTemp=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{AirTemp=low,pH=high} => {eDNAConc=high}",0.198412698412698,0.520833333333333,0.380952380952381,0.875,25
"{eFishCatch=present,DissolvedOxygen=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{pH=high,DissolvedOxygen=high} => {eDNAConc=high}",0.333333333333333,0.538461538461538,0.619047619047619,0.904615384615384,42
"{eFishCatch=present,pH=high} => {eDNAConc=high}",0.420634920634921,0.67948717948718,0.619047619047619,1.14153846153846,53
"{eFishCatch=absent,VolumeFiltered=high,Site=1} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,Backpack=OSMOS,Site=1} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,VolumeFiltered=low,Site=1} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,Conductivity=low,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,WaterTemp=low,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,AirTemp=low,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,DissolvedOxygen=high,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,pH=high,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6
"{eFishCatch=absent,Conductivity=low,VolumeFiltered=high} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,WaterTemp=low,VolumeFiltered=high} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,AirTemp=low,VolumeFiltered=high} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,DissolvedOxygen=high,VolumeFiltered=high} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,pH=high,VolumeFiltered=high} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,VolumeFiltered=low,Backpack=OSMOS} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,Conductivity=low,Backpack=OSMOS} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,WaterTemp=low,Backpack=OSMOS} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,AirTemp=low,Backpack=OSMOS} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,DissolvedOxygen=high,Backpack=OSMOS} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,WaterTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,AirTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,DissolvedOxygen=high,VolumeFiltered=low} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,WaterTemp=low,Conductivity=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,AirTemp=low,Conductivity=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,DissolvedOxygen=high,Conductivity=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,pH=high,Conductivity=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,AirTemp=low,WaterTemp=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,WaterTemp=low,DissolvedOxygen=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,WaterTemp=low,pH=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,AirTemp=low,DissolvedOxygen=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,AirTemp=low,pH=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,pH=high,DissolvedOxygen=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{WaterTemp=high,Conductivity=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{AirTemp=high,Conductivity=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{Conductivity=high,VolumeFiltered=high,Site=4} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6
"{Conductivity=high,Backpack=OSMOS,Site=4} => {eDNAConc=high}",0.0714285714285714,0.75,0.0952380952380952,1.26,9
"{Conductivity=high,Backpack=ANDe,Site=4} => {eDNAConc=high}",0.0634920634920635,0.666666666666667,0.0952380952380952,1.12,8
"{Conductivity=high,VolumeFiltered=low,Site=4} => {eDNAConc=high}",0.0873015873015873,0.611111111111111,0.142857142857143,1.02666666666667,11
"{DissolvedOxygen=high,Conductivity=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{eFishCatch=present,Conductivity=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{pH=high,Conductivity=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{AirTemp=high,WaterTemp=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{WaterTemp=high,VolumeFiltered=high,Site=4} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6
"{WaterTemp=high,Backpack=OSMOS,Site=4} => {eDNAConc=high}",0.0714285714285714,0.75,0.0952380952380952,1.26,9
"{WaterTemp=high,Backpack=ANDe,Site=4} => {eDNAConc=high}",0.0634920634920635,0.666666666666667,0.0952380952380952,1.12,8
"{WaterTemp=high,VolumeFiltered=low,Site=4} => {eDNAConc=high}",0.0873015873015873,0.611111111111111,0.142857142857143,1.02666666666667,11
"{WaterTemp=high,DissolvedOxygen=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{eFishCatch=present,WaterTemp=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{WaterTemp=high,pH=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{AirTemp=high,VolumeFiltered=high,Site=4} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6
"{AirTemp=high,Backpack=OSMOS,Site=4} => {eDNAConc=high}",0.0714285714285714,0.75,0.0952380952380952,1.26,9
"{AirTemp=high,Backpack=ANDe,Site=4} => {eDNAConc=high}",0.0634920634920635,0.666666666666667,0.0952380952380952,1.12,8
"{AirTemp=high,VolumeFiltered=low,Site=4} => {eDNAConc=high}",0.0873015873015873,0.611111111111111,0.142857142857143,1.02666666666667,11
"{AirTemp=high,DissolvedOxygen=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{eFishCatch=present,AirTemp=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
