"rules","support","confidence","coverage","lift","count","p_raw","p_BH","p_BF","len","lhs"
"{eFishCatch=present,DissolvedOxygen=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{eFishCatch=present,DissolvedOxygen=high,VolumeFiltered=high}"
"{eFishCatch=present,pH=high,Conductivity=low,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,pH=high,Conductivity=low,Backpack=OSMOS}"
"{eFishCatch=present,WaterTemp=low,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,WaterTemp=low,pH=high,Backpack=OSMOS}"
"{eFishCatch=present,AirTemp=low,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,AirTemp=low,pH=high,Backpack=OSMOS}"
"{eFishCatch=present,pH=high,Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,pH=high,Conductivity=low,VolumeFiltered=low}"
"{eFishCatch=present,WaterTemp=low,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,WaterTemp=low,pH=high,VolumeFiltered=low}"
"{eFishCatch=present,AirTemp=low,pH=high,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,5,"{eFishCatch=present,AirTemp=low,pH=high,VolumeFiltered=low}"
"{eFishCatch=present,pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.261904761904762,0.916666666666667,0.285714285714286,1.54,33,1.06482916897156e-06,7.9862187672867e-05,7.9862187672867e-05,4,"{eFishCatch=present,pH=high,Backpack=OSMOS}"
"{Backpack=ANDe,Site=3} => {eDNAConc=high}",0.0873015873015873,0.916666666666667,0.0952380952380952,1.54,11,0.0141721930936254,0.0295254022783863,1,3,"{Backpack=ANDe,Site=3}"
"{pH=low,Backpack=ANDe} => {eDNAConc=high}",0.0873015873015873,0.916666666666667,0.0952380952380952,1.54,11,0.0141721930936254,0.0295254022783863,1,3,"{pH=low,Backpack=ANDe}"
"{DissolvedOxygen=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,3,"{DissolvedOxygen=low,VolumeFiltered=low}"
"{eFishCatch=present,Conductivity=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,4,"{eFishCatch=present,Conductivity=low,VolumeFiltered=low}"
"{eFishCatch=present,WaterTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,4,"{eFishCatch=present,WaterTemp=low,VolumeFiltered=low}"
"{eFishCatch=present,AirTemp=low,VolumeFiltered=low} => {eDNAConc=high}",0.126984126984127,0.888888888888889,0.142857142857143,1.49333333333333,16,0.00447260205462114,0.0108208114224705,0.335445154096585,4,"{eFishCatch=present,AirTemp=low,VolumeFiltered=low}"
"{Conductivity=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,3,"{Conductivity=high,Backpack=OSMOS}"
"{WaterTemp=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,3,"{WaterTemp=high,Backpack=OSMOS}"
"{AirTemp=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,3,"{AirTemp=high,Backpack=OSMOS}"
"{eFishCatch=present,DissolvedOxygen=high,Backpack=OSMOS} => {eDNAConc=high}",0.166666666666667,0.875,0.19047619047619,1.47,21,0.00128304014024772,0.00387042141837744,0.0962280105185789,4,"{eFishCatch=present,DissolvedOxygen=high,Backpack=OSMOS}"
"{eFishCatch=present,VolumeFiltered=low,Backpack=OSMOS} => {eDNAConc=high}",0.246031746031746,0.861111111111111,0.285714285714286,1.44666666666667,31,7.22678926094125e-05,0.00180669731523531,0.00542009194570594,4,"{eFishCatch=present,VolumeFiltered=low,Backpack=OSMOS}"
"{pH=high,Backpack=OSMOS} => {eDNAConc=high}",0.317460317460317,0.833333333333333,0.380952380952381,1.4,40,1.30681568177545e-05,0.000490055880665793,0.000980111761331585,3,"{pH=high,Backpack=OSMOS}"
"{DissolvedOxygen=high,Backpack=OSMOS} => {eDNAConc=high}",0.222222222222222,0.777777777777778,0.285714285714286,1.30666666666667,28,0.00644351091159284,0.0146443429808928,0.483263318369463,3,"{DissolvedOxygen=high,Backpack=OSMOS}"
"{eFishCatch=present,Backpack=OSMOS} => {eDNAConc=high}",0.293650793650794,0.770833333333333,0.380952380952381,1.295,37,0.0013056637735723,0.00387042141837744,0.0979247830179223,3,"{eFishCatch=present,Backpack=OSMOS}"
"{eFishCatch=present,VolumeFiltered=high,Backpack=ANDe} => {eDNAConc=high}",0.182539682539683,0.766666666666667,0.238095238095238,1.288,23,0.0221198502289591,0.04483753424789,1,4,"{eFishCatch=present,VolumeFiltered=high,Backpack=ANDe}"
"{VolumeFiltered=low,Backpack=OSMOS} => {eDNAConc=high}",0.253968253968254,0.761904761904762,0.333333333333333,1.28,32,0.00552298186888462,0.0129444887551983,0.414223640166347,3,"{VolumeFiltered=low,Backpack=OSMOS}"
"{Backpack=OSMOS} => {eDNAConc=high}",0.349206349206349,0.733333333333333,0.476190476190476,1.232,44,0.00219199672332873,0.00608887978702425,0.164399754249655,2,"{Backpack=OSMOS}"
"{eFishCatch=present,pH=high} => {eDNAConc=high}",0.420634920634921,0.67948717948718,0.619047619047619,1.14153846153846,53,0.0117325039043483,0.0258805233184155,0.879937792826125,3,"{eFishCatch=present,pH=high}"
"{eFishCatch=present} => {eDNAConc=high}",0.53968253968254,0.666666666666667,0.80952380952381,1.12,68,0.000902144334660058,0.00387042141837744,0.0676608250995043,2,"{eFishCatch=present}"
